FILENAME,TEXT_SIZE,PARSEY_TAGGING_TIME_SECONDS,MANUAL_TAGGING_TIME_SECONDS
austen_emma,165789,12969,707
austen_pride_and_prejudice,125537,9916,399
barrie_peter_pan,50786,6261,110
baum_the_wonderful_wizard_of_oz,42001,3913,57
burnett_a_little_princess,71985,7578,175
burnett_secret_garden,89647,9415,258
burroughs_a_princess_of_mars,68244,3721,89
burroughs_tarzan_of_the_apes,88283,6475,200
carroll_alices_adventure_in_wonderland,29332,2111,28
carroll_jabberwocky,185,14,4
christie_the_mysterious_affair_at_styles,61706,7891,182
conrad_heart_of_darkness,39777,3206,52
dickens_a_christmas_carol_in_prose,30843,2443,35
dickens_a_tale_of_two_cities,142952,12224,714
dickens_great_expectations,195488,18706,1291
doyle_sherlock_holmes,111679,12398,590
doyle_the_hound_of_the_baskervilles,61903,6115,115
doyle_the_sign_of_the_four,45505,4690,78
hawthorne_the_scarlet_letter,86170,4580,153
kafka_metamorphosis,22674,1108,14
kafka_the_trial,89782,6513,92
kipling_the_jungle_book,54957,4277,78
london_the_call_of_the_wild,32243,2570,35
london_white_fang,73862,6878,166
marquez_love_in_the_time_of_cholera,151518,9389,505
orwell_1984,106582,10737,409
poe_raven,1188,59,5
shelley_frankenstein,76538,5344,142
stevenson_the_strange_case_of_drjekyll_and_mrhyde,26761,2131,27
stevenson_treasure_island,72553,5009,159
stoker_dracula,166935,12956,914
twain_adventures_of_tom_sawyer,75582,7455,209
verne_20000_leagues_under_the_sea,108042,11744,244
verne_around_the_world_in_eighty_days,66320,6497,128
wells_the_island_of_doctor_moreau,45656,4701,69
wells_the_war_of_the_worlds,61627,5147,130
wells_time_machine,33089,2315,37
wodehouse_my_man_jeeves,56586,7019,167
